sample_id,texture,colour,true_label
1,98,122,swollen_shoot
2,40,181,healthy
3,104,109,swollen_shoot
4,37,173,healthy
5,99,120,swollen_shoot
6,82,106,swollen_shoot
7,49,186,healthy
8,28,192,healthy
9,137,53,black_pod
10,38,183,healthy
11,153,48,black_pod
12,77,120,swollen_shoot
13,151,73,black_pod
14,147,57,black_pod
15,88,112,swollen_shoot
16,100,106,swollen_shoot
17,141,58,black_pod
18,94,115,swollen_shoot
19,164,57,black_pod
20,82,112,swollen_shoot
21,47,190,healthy
22,45,188,healthy
23,81,117,swollen_shoot
24,38,190,healthy
25,154,73,black_pod
26,136,52,black_pod
27,100,125,swollen_shoot
28,153,53,black_pod
29,162,62,black_pod
30,34,180,healthy
31,35,185,healthy
32,138,45,black_pod
33,103,118,swollen_shoot
34,92,109,swollen_shoot
35,34,193,healthy
36,145,63,black_pod
37,153,59,black_pod
38,142,67,black_pod
39,151,45,black_pod
40,91,124,swollen_shoot
41,76,126,swollen_shoot
42,25,183,healthy
43,54,188,healthy
44,100,135,swollen_shoot
45,142,54,black_pod
46,140,74,black_pod
47,28,189,healthy
48,40,193,healthy
49,38,181,healthy
50,79,122,swollen_shoot
51,44,189,healthy
52,46,191,healthy
53,48,193,healthy
54,54,195,healthy
55,135,47,black_pod
56,90,117,swollen_shoot
57,75,115,swollen_shoot
58,148,54,black_pod
59,93,130,swollen_shoot
60,165,49,black_pod
